#        Em_x_FC[n.u.]          Em_y_FC[n.u.]          Em_z_FC[n.u.]          En_x_FC[n.u.]          En_y_FC[n.u.]          En_z_FC[n.u.]
-5.130255068188221e-02  8.433566325221971e-02  9.951158446117422e-01  2.700630232448812e-02  1.840458381332953e-01  9.825465836796601e-01
 7.596614919185338e-01  5.773655154281135e-01 -2.992715811608850e-01  9.868784651983454e-01  1.350212483545379e-01 -8.854466342214144e-02
-2.657726804861255e-01  5.288762328430134e-01 -8.060116702883416e-01 -6.348703068851649e-01 -3.540128499858374e-01  6.867420152287478e-01
-8.922421356421360e-02  9.498858680994088e-01  2.995928525497230e-01  1.641641404752621e-01 -9.465481376926163e-01 -2.776630296108183e-01
-9.675514983175320e-01  1.423810199817794e-01  2.087384565729254e-01  8.499404816976057e-01 -2.974159726074351e-01 -4.349079406145802e-01
 1.684879694069181e-01  1.329087570562222e-01  9.767021380456293e-01  3.067432537390244e-01 -1.175372490932821e-01 -9.445070520441763e-01
 3.786636193320544e-01 -7.307537449410985e-01  5.679901650987531e-01 -3.449239222357354e-01 -2.444066655099386e-01 -9.062521005348508e-01
 9.039685125999437e-01  6.620092109262780e-02 -4.224433290683296e-01 -2.337652053302967e-01 -9.498699331186863e-01  2.076076562508874e-01
-5.852384144118473e-02  6.274064937236165e-01 -7.764895695477209e-01  1.078957626721151e-02  1.876846981002789e-01  9.821700663036831e-01
 7.464625986189088e-02  6.653438985840319e-01  7.427956869191101e-01  7.352253587836496e-02  2.256035459011192e-01 -9.714409281036372e-01
-8.793548537927448e-02 -6.831678992633982e-01 -7.249475648811761e-01  1.314920437351210e-01  9.839823394176525e-01 -1.203685928659335e-01
-6.917348174463088e-02 -9.887528763065732e-01  1.326000717149258e-01  1.196015650108215e-02  5.987861296399338e-02  9.981340122278060e-01
